Quarter,Region,Revenue_USD,Expenses_USD,Profit_USD,Growth_Pct,Headcount
Q1 2024,North America,4200000,2900000,1300000,12.5,320
Q2 2024,North America,4750000,3100000,1650000,13.1,335
Q3 2024,North America,5100000,3300000,1800000,7.4,350
Q4 2024,North America,5600000,3500000,2100000,9.8,370
Q1 2024,Europe,2100000,1600000,500000,8.2,180
Q2 2024,Europe,2400000,1750000,650000,14.3,195
Q3 2024,Europe,2700000,1900000,800000,12.5,210
Q4 2024,Europe,3000000,2050000,950000,11.1,220
Q1 2024,APAC,1500000,1200000,300000,18.0,140
Q2 2024,APAC,1800000,1350000,450000,20.0,158
Q3 2024,APAC,2100000,1500000,600000,16.7,172
Q4 2024,APAC,2500000,1700000,800000,19.0,190
