EVENT_ID,EVENT_TYPE,STATE,BEGIN_DATE_TIME,END_DATE_TIME,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,EPISODE_NARRATIVE
10001001,Tornado,ALABAMA,2011-04-27 15:00:00,2011-04-27 15:45:00,28,4,200,50,125000000.00,500000.00,EF5,Devastating tornado outbreak across Alabama
10001002,Flood,LOUISIANA,2016-08-11 06:00:00,2016-08-15 18:00:00,13,0,25,0,8500000000.00,300000000.00,,Historic August 2016 Louisiana floods
10001003,Hurricane,FLORIDA,2004-08-13 08:00:00,2004-08-14 20:00:00,36,0,300,0,14200000000.00,2000000000.00,,Hurricane Charley landfall near Punta Gorda
10001004,Wildfire,CALIFORNIA,2018-11-08 06:30:00,2018-11-25 00:00:00,85,0,12,0,16650000000.00,0.00,,Camp Fire destroys town of Paradise
10001005,Drought,TEXAS,2011-01-01 00:00:00,2011-12-31 00:00:00,0,0,0,0,7620000000.00,5200000000.00,,Exceptional drought across Texas
10001006,Winter Storm,NEW YORK,2016-01-22 18:00:00,2016-01-24 12:00:00,16,20,120,30,200000000.00,0.00,,Winter Storm Jonas blizzard
10001007,Extreme Cold/Wind Chill,MINNESOTA,2019-01-30 00:00:00,2019-01-31 23:59:00,22,0,150,0,25000000.00,0.00,,Polar vortex event
10001008,Hail,OKLAHOMA,2016-05-17 18:30:00,2016-05-17 20:00:00,0,0,12,0,1000000.00,2500000.00,4.50,Large hail event
10001009,Thunderstorm Wind,GEORGIA,2020-03-03 01:00:00,2020-03-03 02:00:00,25,0,95,0,400000000.00,5000000.00,,Tornadoes during early morning outbreak
10001010,Flood,IOWA,2008-06-08 00:00:00,2008-06-16 00:00:00,3,0,15,0,3500000000.00,800000000.00,,Great Floods of 2008 in Iowa
10001011,Hurricane,NORTH CAROLINA,2018-09-14 07:00:00,2018-09-16 18:00:00,37,17,250,30,24000000000.00,1000000000.00,,Hurricane Florence
10001012,Tornado,MISSOURI,2011-05-22 17:41:00,2011-05-22 18:00:00,158,0,1100,0,2800000000.00,0.00,EF5,Joplin tornado
10001013,Wildfire,CALIFORNIA,2017-10-08 21:00:00,2017-10-31 00:00:00,44,0,185,0,14000000000.00,0.00,,North Bay Fires wine country California
10001014,Earthquake,ALASKA,2018-11-30 08:29:00,2018-11-30 09:00:00,0,0,0,0,75000000.00,0.00,7.1,Anchorage earthquake
10001015,Flood,WEST VIRGINIA,2016-06-23 00:00:00,2016-06-25 00:00:00,23,0,100,0,1500000000.00,0.00,,Catastrophic flooding in West Virginia
10001016,Heat,CALIFORNIA,2021-07-09 00:00:00,2021-07-19 23:59:00,215,0,0,0,0.00K,0.00K,,Pacific Northwest heat dome
10001017,Coastal Flood,VIRGINIA,2012-10-29 18:00:00,2012-10-30 12:00:00,0,0,0,0,500000.00K,0.00K,,Sandy storm surge
10001018,Tornado,GEORGIA,2008-03-14 21:00:00,2008-03-15 00:30:00,1,0,12,0,250000.00K,0.00K,EF2,Tornado through Atlanta downtown
10001019,Winter Storm,MASSACHUSETTS,2015-01-26 18:00:00,2015-01-28 12:00:00,6,1,35,0,200000.00K,0.00K,,Winter Storm Juno blizzard
10001020,Flash Flood,ARIZONA,2015-09-14 14:00:00,2015-09-14 17:00:00,16,0,5,0,25000.00K,500.00K,,Flash flooding Hildale Utah/Arizona
